"","shrimp","almonds","avocado","vegetables mix","green grapes","whole weat flour","yams","cottage cheese","energy drink","tomato juice","low fat yogurt","green tea","honey","salad","mineral water","salmon","antioxydant juice","frozen smoothie","spinach","olive oil"
"113","chicken","eggs","french fries","pancakes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","turkey","herb & pepper","salmon","white wine","candy bars",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","grated cheese","spaghetti","olive oil","eggs","french fries","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","mineral water","energy bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","eggs","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","burgers","tomatoes","mineral water","soup","milk","almonds","eggs","chocolate","tomato juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","muffins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","pasta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","tomatoes","spaghetti","frozen smoothie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","ground beef","spaghetti","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","chocolate","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","burgers","shrimp","pasta","frozen vegetables","spaghetti","mineral water","milk","eggs","chocolate","french fries","pancakes","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA
"126","ground beef","mineral water","antioxydant juice","protein bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","grated cheese","whole wheat pasta","ground beef","spaghetti","cake","energy drink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","grated cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","pancakes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","frozen smoothie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","carrots","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","turkey","burgers","chocolate","olive oil","eggs","cooking oil","corn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","frozen vegetables","tomatoes","pepper","spaghetti","mineral water","pancakes","chicken","chili","tea","french fries","tomato juice","fresh bread",NA,NA,NA,NA,NA,NA,NA,NA
"135","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","ground beef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","turkey","eggs","chocolate","frozen smoothie","tomato juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","frozen vegetables","cooking oil","mashed potato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","frozen vegetables","ground beef","tomato sauce","mineral water","meatballs","olive oil","light cream","tomato juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","red wine","spaghetti","mineral water","soup","milk","eggs","cake","gums","cooking oil","chocolate","frozen smoothie",NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","chocolate","tomatoes","spaghetti","mineral water","avocado","milk","olive oil","eggs","rice","french fries","brownies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","chocolate","shrimp","pasta","frozen vegetables","ground beef","mineral water","nonfat milk","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","turkey","shrimp","pasta","pepper","spaghetti","mineral water","eggs","chicken","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","turkey","tomatoes","cake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","yams","mineral water","soup","milk","pancakes","whole wheat rice","barbecue sauce","carrots","chocolate","champagne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","chocolate","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","shrimp","pasta","frozen vegetables","water spray",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","burgers","mineral water","milk","eggs","whole wheat rice","mint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","mineral water","vegetables mix","cake","frozen smoothie","brownies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","shrimp","pasta","chicken","chocolate bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","shallot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","shrimp","pasta","spaghetti","eggs","hot dogs","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","burgers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","red wine","ground beef","spaghetti","mineral water","milk","olive oil","strong cheese","light cream","cooking oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","burgers","grated cheese","spaghetti","avocado","milk","oil","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","herb & pepper","whole wheat pasta","ground beef","mineral water","olive oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","shrimp","pasta","yams","milk","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","butter","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","light mayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","herb & pepper","shrimp","pasta","spaghetti","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","burgers","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","turkey","herb & pepper","ground beef","soup","avocado","milk","black tea","eggs","barbecue sauce","carrots","cookies","tomato juice","fresh bread",NA,NA,NA,NA,NA,NA,NA
"167","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","pepper","french fries","strawberries","pancakes","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","frozen vegetables","yams","chicken","honey","light mayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","chocolate","champagne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","herb & pepper","honey","cake","rice","protein bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","burgers","chocolate","frozen vegetables","ground beef","mineral water","milk","light mayo","asparagus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","chocolate","mineral water","corn","cottage cheese","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","muffins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","ham","french wine","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","spaghetti","milk","whole wheat rice","mint green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","chocolate","body spray",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","frozen vegetables","french fries","hot dogs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","candy bars",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","burgers","shrimp","pasta","milk","green tea","french fries","cookies","white wine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","parmesan cheese","ground beef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","pancakes","whole wheat rice","candy bars",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","eggs","eggplant","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","frozen vegetables","mineral water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","turkey","spaghetti","milk","whole wheat rice","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","whole wheat pasta","ground beef","spaghetti","soup","meatballs","chicken","blueberries","cooking oil","champagne","yogurt cake","protein bar",NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","cooking oil","tomato juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","frozen vegetables","milk","eggs","french fries","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","fresh tuna","spaghetti","olive oil","french wine","eggs","french fries","champagne","pancakes","light mayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","red wine","honey","hot dogs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","milk","bacon","eggs","french fries","fresh bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","french fries","yogurt cake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
